timestamp,event,client,seq_num,details
1780647002.4613981,RECV,127.0.0.1:58346,0,START
1780647002.4622943,SESSION_CREATED,127.0.0.1:58346,0,test_5mb.bin
1780647002.4632063,ACK_SENT,127.0.0.1:58346,0,ACK
1780647002.463969,RECV,127.0.0.1:58346,1,DATA
1780647002.464551,WRITE,127.0.0.1:58346,1,512 bytes
1780647002.4650593,ACK_SENT,127.0.0.1:58346,1,ACK
1780647002.4659321,RECV,127.0.0.1:58346,2,DATA
1780647002.4671965,WRITE,127.0.0.1:58346,2,512 bytes
1780647002.467557,ACK_SENT,127.0.0.1:58346,2,ACK
1780647002.4681473,RECV,127.0.0.1:58346,3,DATA
1780647002.4688401,WRITE,127.0.0.1:58346,3,512 bytes
1780647002.469272,ACK_SENT,127.0.0.1:58346,3,ACK
1780647002.4697669,RECV,127.0.0.1:58346,4,DATA
1780647002.4701488,WRITE,127.0.0.1:58346,4,512 bytes
1780647002.4704654,ACK_SENT,127.0.0.1:58346,4,ACK
1780647002.4709265,RECV,127.0.0.1:58346,5,DATA
1780647002.4715707,WRITE,127.0.0.1:58346,5,512 bytes
1780647002.4725497,ACK_SENT,127.0.0.1:58346,5,ACK
1780647002.4732397,RECV,127.0.0.1:58346,6,DATA
1780647002.4738739,WRITE,127.0.0.1:58346,6,512 bytes
1780647002.4742975,ACK_SENT,127.0.0.1:58346,6,ACK
1780647002.4748116,RECV,127.0.0.1:58346,7,DATA
1780647002.4756804,WRITE,127.0.0.1:58346,7,512 bytes
1780647002.4762778,ACK_SENT,127.0.0.1:58346,7,ACK
1780647002.476747,RECV,127.0.0.1:58346,8,DATA
1780647002.4774802,WRITE,127.0.0.1:58346,8,512 bytes
1780647002.4782817,ACK_SENT,127.0.0.1:58346,8,ACK
1780647002.479041,RECV,127.0.0.1:58346,9,DATA
1780647002.4798107,WRITE,127.0.0.1:58346,9,512 bytes
1780647002.480708,ACK_SENT,127.0.0.1:58346,9,ACK
1780647002.481079,RECV,127.0.0.1:58346,10,DATA
1780647002.481803,WRITE,127.0.0.1:58346,10,512 bytes
1780647002.482376,ACK_SENT,127.0.0.1:58346,10,ACK
1780647002.4828298,RECV,127.0.0.1:58346,11,DATA
1780647002.4840207,WRITE,127.0.0.1:58346,11,512 bytes
1780647002.4843383,ACK_SENT,127.0.0.1:58346,11,ACK
1780647002.4853678,RECV,127.0.0.1:58346,12,DATA
1780647002.4860334,WRITE,127.0.0.1:58346,12,512 bytes
1780647002.4864774,ACK_SENT,127.0.0.1:58346,12,ACK
1780647002.4878995,RECV,127.0.0.1:58346,13,DATA
1780647002.4885201,WRITE,127.0.0.1:58346,13,512 bytes
1780647002.4889555,ACK_SENT,127.0.0.1:58346,13,ACK
1780647002.4895031,RECV,127.0.0.1:58346,14,DATA
1780647002.4899852,WRITE,127.0.0.1:58346,14,512 bytes
1780647002.4901915,ACK_SENT,127.0.0.1:58346,14,ACK
1780647002.4907858,RECV,127.0.0.1:58346,15,DATA
1780647002.491673,WRITE,127.0.0.1:58346,15,512 bytes
1780647002.492414,ACK_SENT,127.0.0.1:58346,15,ACK
1780647002.4931428,RECV,127.0.0.1:58346,16,DATA
1780647002.4937432,WRITE,127.0.0.1:58346,16,512 bytes
1780647002.4941134,ACK_SENT,127.0.0.1:58346,16,ACK
1780647002.494606,RECV,127.0.0.1:58346,17,DATA
1780647002.4951072,WRITE,127.0.0.1:58346,17,512 bytes
1780647002.4954443,ACK_SENT,127.0.0.1:58346,17,ACK
1780647002.495896,RECV,127.0.0.1:58346,18,DATA
1780647002.4964054,WRITE,127.0.0.1:58346,18,512 bytes
1780647002.4965816,ACK_SENT,127.0.0.1:58346,18,ACK
1780647002.4969106,RECV,127.0.0.1:58346,19,DATA
1780647002.4973605,WRITE,127.0.0.1:58346,19,512 bytes
1780647002.4975224,ACK_SENT,127.0.0.1:58346,19,ACK
1780647002.4978187,RECV,127.0.0.1:58346,20,DATA
1780647002.4983332,WRITE,127.0.0.1:58346,20,512 bytes
1780647002.4985461,ACK_SENT,127.0.0.1:58346,20,ACK
1780647002.4991446,RECV,127.0.0.1:58346,21,DATA
1780647002.4998415,WRITE,127.0.0.1:58346,21,512 bytes
1780647002.5001688,ACK_SENT,127.0.0.1:58346,21,ACK
1780647002.500672,RECV,127.0.0.1:58346,22,DATA
1780647002.5013862,WRITE,127.0.0.1:58346,22,512 bytes
1780647002.502112,ACK_SENT,127.0.0.1:58346,22,ACK
1780647002.5029554,RECV,127.0.0.1:58346,23,DATA
1780647002.5040338,WRITE,127.0.0.1:58346,23,512 bytes
1780647002.5047028,ACK_SENT,127.0.0.1:58346,23,ACK
1780647002.505347,RECV,127.0.0.1:58346,24,DATA
1780647002.505889,WRITE,127.0.0.1:58346,24,512 bytes
1780647002.5062044,ACK_SENT,127.0.0.1:58346,24,ACK
1780647002.5067866,RECV,127.0.0.1:58346,25,DATA
1780647002.5074694,WRITE,127.0.0.1:58346,25,512 bytes
1780647002.507817,ACK_SENT,127.0.0.1:58346,25,ACK
1780647002.50842,RECV,127.0.0.1:58346,26,DATA
1780647002.5090265,WRITE,127.0.0.1:58346,26,512 bytes
1780647002.5093596,ACK_SENT,127.0.0.1:58346,26,ACK
1780647002.5097659,RECV,127.0.0.1:58346,27,DATA
1780647002.510258,WRITE,127.0.0.1:58346,27,512 bytes
1780647002.510978,ACK_SENT,127.0.0.1:58346,27,ACK
1780647002.5113623,RECV,127.0.0.1:58346,28,DATA
1780647002.5119228,WRITE,127.0.0.1:58346,28,512 bytes
1780647002.5121982,ACK_SENT,127.0.0.1:58346,28,ACK
1780647002.512624,RECV,127.0.0.1:58346,29,DATA
1780647002.5130525,WRITE,127.0.0.1:58346,29,512 bytes
1780647002.513608,ACK_SENT,127.0.0.1:58346,29,ACK
1780647002.514016,RECV,127.0.0.1:58346,30,DATA
1780647002.5144541,WRITE,127.0.0.1:58346,30,512 bytes
1780647002.5148025,ACK_SENT,127.0.0.1:58346,30,ACK
1780647002.5153298,RECV,127.0.0.1:58346,31,DATA
1780647002.5157578,WRITE,127.0.0.1:58346,31,512 bytes
1780647002.5159395,ACK_SENT,127.0.0.1:58346,31,ACK
1780647002.5162158,RECV,127.0.0.1:58346,32,DATA
1780647002.5165799,WRITE,127.0.0.1:58346,32,512 bytes
1780647002.5167549,ACK_SENT,127.0.0.1:58346,32,ACK
1780647002.5169902,RECV,127.0.0.1:58346,33,DATA
1780647002.5181644,WRITE,127.0.0.1:58346,33,512 bytes
1780647002.5195367,ACK_SENT,127.0.0.1:58346,33,ACK
1780647002.520504,RECV,127.0.0.1:58346,34,DATA
1780647002.521457,WRITE,127.0.0.1:58346,34,512 bytes
1780647002.521792,ACK_SENT,127.0.0.1:58346,34,ACK
1780647002.5223408,RECV,127.0.0.1:58346,35,DATA
1780647002.522773,WRITE,127.0.0.1:58346,35,512 bytes
1780647002.5229912,ACK_SENT,127.0.0.1:58346,35,ACK
1780647002.5234258,RECV,127.0.0.1:58346,36,DATA
1780647002.5238588,WRITE,127.0.0.1:58346,36,512 bytes
1780647002.5240402,ACK_SENT,127.0.0.1:58346,36,ACK
1780647002.5243275,RECV,127.0.0.1:58346,37,DATA
1780647002.5247626,WRITE,127.0.0.1:58346,37,512 bytes
1780647002.5249984,ACK_SENT,127.0.0.1:58346,37,ACK
1780647002.52555,RECV,127.0.0.1:58346,38,DATA
1780647002.5261765,WRITE,127.0.0.1:58346,38,512 bytes
1780647002.5264106,ACK_SENT,127.0.0.1:58346,38,ACK
1780647002.5267851,RECV,127.0.0.1:58346,39,DATA
1780647002.5272465,WRITE,127.0.0.1:58346,39,512 bytes
1780647002.5274725,ACK_SENT,127.0.0.1:58346,39,ACK
1780647002.5277665,RECV,127.0.0.1:58346,40,DATA
1780647002.5283272,WRITE,127.0.0.1:58346,40,512 bytes
1780647002.528563,ACK_SENT,127.0.0.1:58346,40,ACK
1780647002.5288553,RECV,127.0.0.1:58346,41,DATA
1780647002.5293748,WRITE,127.0.0.1:58346,41,512 bytes
1780647002.529569,ACK_SENT,127.0.0.1:58346,41,ACK
