timestamp,event,seq_num,details
1780652080.8753183,SEND,0,"START, attempt=1"
1780652080.878214,ACK_RECEIVED,0,ACK
1780652080.8786597,SEND,1,"DATA, attempt=1"
1780652080.87981,ACK_RECEIVED,1,ACK
1780652080.8802269,SEND,2,"DATA, attempt=1"
1780652080.8814778,ACK_RECEIVED,2,ACK
1780652080.8819282,SEND,3,"DATA, attempt=1"
1780652080.8834713,ACK_RECEIVED,3,ACK
1780652080.8839319,SEND,4,"DATA, attempt=1"
1780652080.8866165,ACK_RECEIVED,4,ACK
1780652080.887003,SEND,5,"DATA, attempt=1"
1780652080.8886456,ACK_RECEIVED,5,ACK
1780652080.8890219,SEND,6,"DATA, attempt=1"
1780652080.8903823,ACK_RECEIVED,6,ACK
1780652080.890753,SEND,7,"DATA, attempt=1"
1780652080.8919265,ACK_RECEIVED,7,ACK
1780652080.892208,SEND,8,"DATA, attempt=1"
1780652080.8934226,ACK_RECEIVED,8,ACK
1780652080.8936663,SEND,9,"DATA, attempt=1"
1780652080.8947475,ACK_RECEIVED,9,ACK
1780652080.8950417,SEND,10,"DATA, attempt=1"
1780652080.896402,ACK_RECEIVED,10,ACK
1780652080.896647,SEND,11,"DATA, attempt=1"
1780652080.898722,ACK_RECEIVED,11,ACK
1780652080.8991246,SEND,12,"DATA, attempt=1"
1780652080.9001648,ACK_RECEIVED,12,ACK
1780652080.9004345,SEND,13,"DATA, attempt=1"
1780652080.9012148,ACK_RECEIVED,13,ACK
1780652080.9014654,SEND,14,"DATA, attempt=1"
1780652080.9026597,ACK_RECEIVED,14,ACK
1780652080.9029512,SEND,15,"DATA, attempt=1"
1780652080.905799,ACK_RECEIVED,15,ACK
1780652080.9062645,SEND,16,"DATA, attempt=1"
1780652080.9074423,ACK_RECEIVED,16,ACK
1780652080.9078727,SEND,17,"DATA, attempt=1"
1780652080.9087126,ACK_RECEIVED,17,ACK
1780652080.909,SEND,18,"DATA, attempt=1"
1780652080.9098272,ACK_RECEIVED,18,ACK
1780652080.9100454,SEND,19,"DATA, attempt=1"
1780652080.9107525,ACK_RECEIVED,19,ACK
1780652080.9109666,SEND,20,"DATA, attempt=1"
1780652080.912484,ACK_RECEIVED,20,ACK
1780652080.9126697,SEND,21,"DATA, attempt=1"
1780652080.9134407,ACK_RECEIVED,21,ACK
1780652080.9137497,SEND,22,"DATA, attempt=1"
1780652080.9146767,ACK_RECEIVED,22,ACK
1780652080.9148605,SEND,23,"DATA, attempt=1"
1780652080.9155607,ACK_RECEIVED,23,ACK
1780652080.91579,SEND,24,"DATA, attempt=1"
1780652080.9164836,ACK_RECEIVED,24,ACK
1780652080.9166849,SEND,25,"DATA, attempt=1"
1780652080.918096,ACK_RECEIVED,25,ACK
1780652080.9185033,SEND,26,"DATA, attempt=1"
1780652080.9212637,ACK_RECEIVED,26,ACK
1780652080.9217954,SEND,27,"DATA, attempt=1"
1780652080.9236512,ACK_RECEIVED,27,ACK
1780652080.9240105,SEND,28,"DATA, attempt=1"
1780652080.924712,ACK_RECEIVED,28,ACK
1780652080.9249105,SEND,29,"DATA, attempt=1"
1780652080.925622,ACK_RECEIVED,29,ACK
1780652080.9258332,SEND,30,"DATA, attempt=1"
1780652080.926781,ACK_RECEIVED,30,ACK
1780652080.927023,SEND,31,"DATA, attempt=1"
1780652080.927644,ACK_RECEIVED,31,ACK
1780652080.9278889,SEND,32,"DATA, attempt=1"
1780652080.928402,ACK_RECEIVED,32,ACK
1780652080.9285917,SEND,33,"DATA, attempt=1"
1780652080.9293337,ACK_RECEIVED,33,ACK
1780652080.929541,SEND,34,"DATA, attempt=1"
1780652080.9301798,ACK_RECEIVED,34,ACK
1780652080.930396,SEND,35,"DATA, attempt=1"
1780652080.9314327,ACK_RECEIVED,35,ACK
1780652080.9318225,SEND,36,"DATA, attempt=1"
1780652080.9327626,ACK_RECEIVED,36,ACK
1780652080.9330082,SEND,37,"DATA, attempt=1"
1780652080.9339666,ACK_RECEIVED,37,ACK
1780652080.9343317,SEND,38,"DATA, attempt=1"
1780652080.9349377,ACK_RECEIVED,38,ACK
1780652080.9351153,SEND,39,"DATA, attempt=1"
1780652080.936223,ACK_RECEIVED,39,ACK
1780652080.9370227,SEND,40,"DATA, attempt=1"
1780652080.939632,ACK_RECEIVED,40,ACK
1780652080.9399168,SEND,41,"DATA, attempt=1"
1780652080.940627,ACK_RECEIVED,41,ACK
1780652080.9408257,SEND,42,"DATA, attempt=1"
1780652080.941408,ACK_RECEIVED,42,ACK
1780652080.941687,SEND,43,"DATA, attempt=1"
1780652080.942181,ACK_RECEIVED,43,ACK
1780652080.942397,SEND,44,"DATA, attempt=1"
1780652080.9428663,ACK_RECEIVED,44,ACK
1780652080.9430716,SEND,45,"DATA, attempt=1"
1780652080.9438658,ACK_RECEIVED,45,ACK
1780652080.9441087,SEND,46,"DATA, attempt=1"
1780652080.9449024,ACK_RECEIVED,46,ACK
1780652080.9451308,SEND,47,"DATA, attempt=1"
1780652080.9457805,ACK_RECEIVED,47,ACK
1780652080.9461658,SEND,48,"DATA, attempt=1"
1780652080.9468546,ACK_RECEIVED,48,ACK
1780652080.947223,SEND,49,"DATA, attempt=1"
1780652080.9479835,ACK_RECEIVED,49,ACK
1780652080.948218,SEND,50,"DATA, attempt=1"
1780652080.9492157,ACK_RECEIVED,50,ACK
1780652080.9495158,SEND,51,"DATA, attempt=1"
1780652080.9504907,ACK_RECEIVED,51,ACK
1780652080.9507108,SEND,52,"DATA, attempt=1"
1780652080.9514337,ACK_RECEIVED,52,ACK
1780652080.951616,SEND,53,"DATA, attempt=1"
1780652080.9524903,ACK_RECEIVED,53,ACK
1780652080.953724,SEND,54,"DATA, attempt=1"
1780652080.9557202,ACK_RECEIVED,54,ACK
1780652080.9561276,SEND,55,"DATA, attempt=1"
1780652080.9573991,ACK_RECEIVED,55,ACK
1780652080.957712,SEND,56,"DATA, attempt=1"
1780652080.9583502,ACK_RECEIVED,56,ACK
1780652080.9586859,SEND,57,"DATA, attempt=1"
1780652080.9597015,ACK_RECEIVED,57,ACK
1780652080.960198,SEND,58,"DATA, attempt=1"
1780652080.9609346,ACK_RECEIVED,58,ACK
1780652080.9611723,SEND,59,"DATA, attempt=1"
1780652080.9618134,ACK_RECEIVED,59,ACK
1780652080.962042,SEND,60,"DATA, attempt=1"
1780652080.962927,ACK_RECEIVED,60,ACK
1780652080.9631596,SEND,61,"DATA, attempt=1"
1780652080.9638493,ACK_RECEIVED,61,ACK
1780652080.9640746,SEND,62,"DATA, attempt=1"
1780652080.9646618,ACK_RECEIVED,62,ACK
1780652080.9649456,SEND,63,"DATA, attempt=1"
1780652080.9656537,ACK_RECEIVED,63,ACK
1780652080.9658756,SEND,64,"DATA, attempt=1"
1780652080.9664617,ACK_RECEIVED,64,ACK
1780652080.9666507,SEND,65,"DATA, attempt=1"
1780652080.967293,ACK_RECEIVED,65,ACK
1780652080.967477,SEND,66,"DATA, attempt=1"
1780652080.9685934,ACK_RECEIVED,66,ACK
1780652080.9688792,SEND,67,"DATA, attempt=1"
1780652080.97097,ACK_RECEIVED,67,ACK
1780652080.9712646,SEND,68,"DATA, attempt=1"
1780652080.9727209,ACK_RECEIVED,68,ACK
1780652080.973027,SEND,69,"DATA, attempt=1"
1780652080.9746318,ACK_RECEIVED,69,ACK
1780652080.974887,SEND,70,"DATA, attempt=1"
1780652080.9755716,ACK_RECEIVED,70,ACK
1780652080.9759233,SEND,71,"DATA, attempt=1"
1780652080.9766495,ACK_RECEIVED,71,ACK
